"sitio","fecha","anio","mes","temperatura_media_c","precipitacion_mm"
"Reconquista",2020-01-01,2020,1,14.1,6.5
"Reconquista",2020-02-01,2020,2,13.1,20.9
"Reconquista",2020-03-01,2020,3,17.7,30
"Reconquista",2020-04-01,2020,4,21.4,52.7
"Reconquista",2020-05-01,2020,5,24.6,41.6
"Reconquista",2020-06-01,2020,6,25.1,96.5
"Reconquista",2020-07-01,2020,7,28.5,65
"Reconquista",2020-08-01,2020,8,27.1,132.1
"Reconquista",2020-09-01,2020,9,25.6,59.9
"Reconquista",2020-10-01,2020,10,20.9,63.7
"Reconquista",2020-11-01,2020,11,16.9,48
"Reconquista",2020-12-01,2020,12,13.6,16.8
"Reconquista",2021-01-01,2021,1,13.2,43.7
"Reconquista",2021-02-01,2021,2,14.2,0
"Reconquista",2021-03-01,2021,3,14.2,46.1
"Reconquista",2021-04-01,2021,4,23.2,35.6
"Reconquista",2021-05-01,2021,5,26.3,138.1
"Reconquista",2021-06-01,2021,6,28.7,120.5
"Reconquista",2021-07-01,2021,7,28.4,101.4
"Reconquista",2021-08-01,2021,8,29.3,122.9
"Reconquista",2021-09-01,2021,9,25,56.1
"Reconquista",2021-10-01,2021,10,21.3,97.7
"Reconquista",2021-11-01,2021,11,15.7,6.1
"Reconquista",2021-12-01,2021,12,16.4,0
"Reconquista",2022-01-01,2022,1,13.5,8.6
"Reconquista",2022-02-01,2022,2,17,37.9
"Reconquista",2022-03-01,2022,3,19.7,34.7
"Reconquista",2022-04-01,2022,4,21.5,41
"Reconquista",2022-05-01,2022,5,26.3,114.4
"Reconquista",2022-06-01,2022,6,30.6,163.7
"Reconquista",2022-07-01,2022,7,28.8,61
"Reconquista",2022-08-01,2022,8,28.6,140.1
"Reconquista",2022-09-01,2022,9,25.1,73.1
"Reconquista",2022-10-01,2022,10,21.9,84.5
"Reconquista",2022-11-01,2022,11,17.7,0
"Reconquista",2022-12-01,2022,12,16.1,10.2
"Reconquista",2023-01-01,2023,1,14.2,0
"Reconquista",2023-02-01,2023,2,13.4,4.4
"Reconquista",2023-03-01,2023,3,18.2,8.1
"Reconquista",2023-04-01,2023,4,20.4,69.2
"Reconquista",2023-05-01,2023,5,24,115.4
"Reconquista",2023-06-01,2023,6,29.4,91
"Reconquista",2023-07-01,2023,7,27.9,104.3
"Reconquista",2023-08-01,2023,8,28.8,75.5
"Reconquista",2023-09-01,2023,9,24.4,109.9
"Reconquista",2023-10-01,2023,10,23.3,74
"Reconquista",2023-11-01,2023,11,18.4,0
"Reconquista",2023-12-01,2023,12,14,53.7
"Reconquista",2024-01-01,2024,1,14.5,0
"Reconquista",2024-02-01,2024,2,15.1,0
"Reconquista",2024-03-01,2024,3,15.9,0
"Reconquista",2024-04-01,2024,4,21.2,30.2
"Reconquista",2024-05-01,2024,5,24.3,76.3
"Reconquista",2024-06-01,2024,6,29,116.6
"Reconquista",2024-07-01,2024,7,28.6,92.2
"Reconquista",2024-08-01,2024,8,28.1,98.3
"Reconquista",2024-09-01,2024,9,23.9,78
"Reconquista",2024-10-01,2024,10,20.2,89.3
"Reconquista",2024-11-01,2024,11,17.6,92.2
"Reconquista",2024-12-01,2024,12,13.2,0
"Rafaela",2020-01-01,2020,1,14.7,0
"Rafaela",2020-02-01,2020,2,16.1,49.5
"Rafaela",2020-03-01,2020,3,16.5,41.5
"Rafaela",2020-04-01,2020,4,21.4,85.4
"Rafaela",2020-05-01,2020,5,21.9,90.4
"Rafaela",2020-06-01,2020,6,27.7,118.6
"Rafaela",2020-07-01,2020,7,27.5,146.1
"Rafaela",2020-08-01,2020,8,26.9,119.8
"Rafaela",2020-09-01,2020,9,24.9,94.4
"Rafaela",2020-10-01,2020,10,21.6,43.1
"Rafaela",2020-11-01,2020,11,16.1,49.5
"Rafaela",2020-12-01,2020,12,16.7,6.3
"Rafaela",2021-01-01,2021,1,13,64.5
"Rafaela",2021-02-01,2021,2,13,25.3
"Rafaela",2021-03-01,2021,3,16.8,15
"Rafaela",2021-04-01,2021,4,20.1,101
"Rafaela",2021-05-01,2021,5,22.8,73.5
"Rafaela",2021-06-01,2021,6,27.8,63.6
"Rafaela",2021-07-01,2021,7,29.4,83.9
"Rafaela",2021-08-01,2021,8,27.6,104.3
"Rafaela",2021-09-01,2021,9,24.7,74.2
"Rafaela",2021-10-01,2021,10,20.4,71.5
"Rafaela",2021-11-01,2021,11,17.3,29.3
"Rafaela",2021-12-01,2021,12,11.6,0
"Rafaela",2022-01-01,2022,1,13.7,2.8
"Rafaela",2022-02-01,2022,2,12.1,60.9
"Rafaela",2022-03-01,2022,3,16.6,23.9
"Rafaela",2022-04-01,2022,4,21.2,45.3
"Rafaela",2022-05-01,2022,5,24.5,82
"Rafaela",2022-06-01,2022,6,25.1,144.6
"Rafaela",2022-07-01,2022,7,28.2,88.2
"Rafaela",2022-08-01,2022,8,27.6,122.8
"Rafaela",2022-09-01,2022,9,25.5,69.7
"Rafaela",2022-10-01,2022,10,20.9,51.8
"Rafaela",2022-11-01,2022,11,17,26.1
"Rafaela",2022-12-01,2022,12,14.8,36.2
"Rafaela",2023-01-01,2023,1,11.3,25.2
"Rafaela",2023-02-01,2023,2,12.5,43.6
"Rafaela",2023-03-01,2023,3,16.2,61.6
"Rafaela",2023-04-01,2023,4,20.7,114
"Rafaela",2023-05-01,2023,5,26,86.8
"Rafaela",2023-06-01,2023,6,26,39.9
"Rafaela",2023-07-01,2023,7,27.1,96.5
"Rafaela",2023-08-01,2023,8,28.1,83.9
"Rafaela",2023-09-01,2023,9,23.7,77.6
"Rafaela",2023-10-01,2023,10,19.9,88.8
"Rafaela",2023-11-01,2023,11,17,20.8
"Rafaela",2023-12-01,2023,12,12.5,0
"Rafaela",2024-01-01,2024,1,11.3,22.3
"Rafaela",2024-02-01,2024,2,12.9,34.2
"Rafaela",2024-03-01,2024,3,15.7,28.9
"Rafaela",2024-04-01,2024,4,19.3,70.3
"Rafaela",2024-05-01,2024,5,25.3,97.5
"Rafaela",2024-06-01,2024,6,26.5,112.5
"Rafaela",2024-07-01,2024,7,28.3,95.7
"Rafaela",2024-08-01,2024,8,27.3,121.8
"Rafaela",2024-09-01,2024,9,21.8,28.3
"Rafaela",2024-10-01,2024,10,20.7,75.4
"Rafaela",2024-11-01,2024,11,18.2,45.1
"Rafaela",2024-12-01,2024,12,13.3,68
"Santa Fe",2020-01-01,2020,1,12.3,6.3
"Santa Fe",2020-02-01,2020,2,13.2,12.1
"Santa Fe",2020-03-01,2020,3,17.5,13.5
"Santa Fe",2020-04-01,2020,4,20.9,84
"Santa Fe",2020-05-01,2020,5,24,64
"Santa Fe",2020-06-01,2020,6,26.9,84.3
"Santa Fe",2020-07-01,2020,7,28.2,88.3
"Santa Fe",2020-08-01,2020,8,25.5,144.8
"Santa Fe",2020-09-01,2020,9,25.6,98.9
"Santa Fe",2020-10-01,2020,10,19.3,75
"Santa Fe",2020-11-01,2020,11,15.6,0
"Santa Fe",2020-12-01,2020,12,13.9,7.2
"Santa Fe",2021-01-01,2021,1,11.5,38.9
"Santa Fe",2021-02-01,2021,2,12.9,51.4
"Santa Fe",2021-03-01,2021,3,18,0
"Santa Fe",2021-04-01,2021,4,19.2,1.6
"Santa Fe",2021-05-01,2021,5,23.7,50.8
"Santa Fe",2021-06-01,2021,6,28.9,69
"Santa Fe",2021-07-01,2021,7,27.5,128.4
"Santa Fe",2021-08-01,2021,8,26.2,114.7
"Santa Fe",2021-09-01,2021,9,24.3,129.4
"Santa Fe",2021-10-01,2021,10,20.8,64.9
"Santa Fe",2021-11-01,2021,11,15.1,26.4
"Santa Fe",2021-12-01,2021,12,12.9,57
"Santa Fe",2022-01-01,2022,1,11.8,29.4
"Santa Fe",2022-02-01,2022,2,11.8,34.3
"Santa Fe",2022-03-01,2022,3,16,61.8
"Santa Fe",2022-04-01,2022,4,22.2,54.6
"Santa Fe",2022-05-01,2022,5,25.1,94.1
"Santa Fe",2022-06-01,2022,6,26,130.4
"Santa Fe",2022-07-01,2022,7,28.4,61.2
"Santa Fe",2022-08-01,2022,8,26.6,103.7
"Santa Fe",2022-09-01,2022,9,23.8,63.2
"Santa Fe",2022-10-01,2022,10,21.1,37.5
"Santa Fe",2022-11-01,2022,11,16.8,15.6
"Santa Fe",2022-12-01,2022,12,14.3,25.7
"Santa Fe",2023-01-01,2023,1,12.6,9.6
"Santa Fe",2023-02-01,2023,2,12,0
"Santa Fe",2023-03-01,2023,3,15.3,49.7
"Santa Fe",2023-04-01,2023,4,18.4,72.2
"Santa Fe",2023-05-01,2023,5,24.8,96.8
"Santa Fe",2023-06-01,2023,6,28.7,112.3
"Santa Fe",2023-07-01,2023,7,25.9,140.4
"Santa Fe",2023-08-01,2023,8,27,86.5
"Santa Fe",2023-09-01,2023,9,24.6,70
"Santa Fe",2023-10-01,2023,10,19.7,78.4
"Santa Fe",2023-11-01,2023,11,14.9,50
"Santa Fe",2023-12-01,2023,12,11.7,44.4
"Santa Fe",2024-01-01,2024,1,13.6,9.7
"Santa Fe",2024-02-01,2024,2,12.8,31.8
"Santa Fe",2024-03-01,2024,3,17.5,63.1
"Santa Fe",2024-04-01,2024,4,19.1,42.4
"Santa Fe",2024-05-01,2024,5,25.7,129.1
"Santa Fe",2024-06-01,2024,6,27.6,85.1
"Santa Fe",2024-07-01,2024,7,28,69.1
"Santa Fe",2024-08-01,2024,8,28.4,100.2
"Santa Fe",2024-09-01,2024,9,23.5,90.1
"Santa Fe",2024-10-01,2024,10,19.5,42.9
"Santa Fe",2024-11-01,2024,11,16,9.6
"Santa Fe",2024-12-01,2024,12,12.9,0
"Casilda",2020-01-01,2020,1,12.6,33.4
"Casilda",2020-02-01,2020,2,9.5,21.7
"Casilda",2020-03-01,2020,3,12.4,71.2
"Casilda",2020-04-01,2020,4,17.5,27.9
"Casilda",2020-05-01,2020,5,24.5,82.9
"Casilda",2020-06-01,2020,6,27.2,130.8
"Casilda",2020-07-01,2020,7,26,92.7
"Casilda",2020-08-01,2020,8,26.1,60.2
"Casilda",2020-09-01,2020,9,24,99.1
"Casilda",2020-10-01,2020,10,19.8,45.1
"Casilda",2020-11-01,2020,11,15.8,22.8
"Casilda",2020-12-01,2020,12,12.5,35.9
"Casilda",2021-01-01,2021,1,11.6,62.9
"Casilda",2021-02-01,2021,2,10.3,17.8
"Casilda",2021-03-01,2021,3,17.9,58.7
"Casilda",2021-04-01,2021,4,18.9,6.9
"Casilda",2021-05-01,2021,5,23.8,87.3
"Casilda",2021-06-01,2021,6,24.3,59.8
"Casilda",2021-07-01,2021,7,26.7,67.4
"Casilda",2021-08-01,2021,8,27.1,138.5
"Casilda",2021-09-01,2021,9,23.3,102.5
"Casilda",2021-10-01,2021,10,19.5,74.4
"Casilda",2021-11-01,2021,11,13.4,21.6
"Casilda",2021-12-01,2021,12,12.9,0
"Casilda",2022-01-01,2022,1,10.5,20.7
"Casilda",2022-02-01,2022,2,10.1,0
"Casilda",2022-03-01,2022,3,16,95.5
"Casilda",2022-04-01,2022,4,19.2,62
"Casilda",2022-05-01,2022,5,22.2,92.9
"Casilda",2022-06-01,2022,6,26.4,63.8
"Casilda",2022-07-01,2022,7,24.7,123
"Casilda",2022-08-01,2022,8,28.8,131.7
"Casilda",2022-09-01,2022,9,20.1,92.8
"Casilda",2022-10-01,2022,10,19.6,61.4
"Casilda",2022-11-01,2022,11,14.8,74.1
"Casilda",2022-12-01,2022,12,10.7,34.7
"Casilda",2023-01-01,2023,1,11.6,25.9
"Casilda",2023-02-01,2023,2,11.7,43.3
"Casilda",2023-03-01,2023,3,17.1,43.5
"Casilda",2023-04-01,2023,4,17.7,138.6
"Casilda",2023-05-01,2023,5,24.9,93.7
"Casilda",2023-06-01,2023,6,26.8,130.1
"Casilda",2023-07-01,2023,7,25.8,132.9
"Casilda",2023-08-01,2023,8,25.8,121.2
"Casilda",2023-09-01,2023,9,22,111.4
"Casilda",2023-10-01,2023,10,16.5,68.8
"Casilda",2023-11-01,2023,11,17.6,0
"Casilda",2023-12-01,2023,12,14.3,0
"Casilda",2024-01-01,2024,1,11.3,68.6
"Casilda",2024-02-01,2024,2,10.4,64.7
"Casilda",2024-03-01,2024,3,15.8,32.3
"Casilda",2024-04-01,2024,4,17.9,0
"Casilda",2024-05-01,2024,5,23.9,66
"Casilda",2024-06-01,2024,6,27.2,65.7
"Casilda",2024-07-01,2024,7,27.4,68
"Casilda",2024-08-01,2024,8,26,127.1
"Casilda",2024-09-01,2024,9,24.5,88.1
"Casilda",2024-10-01,2024,10,20.5,96
"Casilda",2024-11-01,2024,11,15.7,1.9
"Casilda",2024-12-01,2024,12,12.1,0
"Rosario",2020-01-01,2020,1,12,21.9
"Rosario",2020-02-01,2020,2,13.8,36.5
"Rosario",2020-03-01,2020,3,15,55.8
"Rosario",2020-04-01,2020,4,17.9,73.7
"Rosario",2020-05-01,2020,5,25.6,53.9
"Rosario",2020-06-01,2020,6,28.3,93
"Rosario",2020-07-01,2020,7,28.6,111.8
"Rosario",2020-08-01,2020,8,27.2,90.9
"Rosario",2020-09-01,2020,9,21.6,93.1
"Rosario",2020-10-01,2020,10,16.6,40.1
"Rosario",2020-11-01,2020,11,18,57.7
"Rosario",2020-12-01,2020,12,12.7,21.9
"Rosario",2021-01-01,2021,1,10.1,23.7
"Rosario",2021-02-01,2021,2,14.2,11.2
"Rosario",2021-03-01,2021,3,14.4,18
"Rosario",2021-04-01,2021,4,18.6,96.5
"Rosario",2021-05-01,2021,5,23.8,63.4
"Rosario",2021-06-01,2021,6,24.3,83.3
"Rosario",2021-07-01,2021,7,26.5,92.9
"Rosario",2021-08-01,2021,8,24.7,148.8
"Rosario",2021-09-01,2021,9,24.7,82.4
"Rosario",2021-10-01,2021,10,19.6,87.8
"Rosario",2021-11-01,2021,11,14.8,9.3
"Rosario",2021-12-01,2021,12,14,6.1
"Rosario",2022-01-01,2022,1,11.1,6
"Rosario",2022-02-01,2022,2,12,33.2
"Rosario",2022-03-01,2022,3,15.4,27.4
"Rosario",2022-04-01,2022,4,18.4,77.4
"Rosario",2022-05-01,2022,5,23.3,87.8
"Rosario",2022-06-01,2022,6,27.3,107.8
"Rosario",2022-07-01,2022,7,27.5,163
"Rosario",2022-08-01,2022,8,28.2,86.4
"Rosario",2022-09-01,2022,9,22.4,109.4
"Rosario",2022-10-01,2022,10,18.8,87.4
"Rosario",2022-11-01,2022,11,16.9,76.7
"Rosario",2022-12-01,2022,12,10.7,24.8
"Rosario",2023-01-01,2023,1,9.4,16.3
"Rosario",2023-02-01,2023,2,13.1,20.5
"Rosario",2023-03-01,2023,3,14.7,52.9
"Rosario",2023-04-01,2023,4,17.9,75.3
"Rosario",2023-05-01,2023,5,22,78
"Rosario",2023-06-01,2023,6,27.2,125.5
"Rosario",2023-07-01,2023,7,26.3,124.9
"Rosario",2023-08-01,2023,8,26.1,120.8
"Rosario",2023-09-01,2023,9,22.2,155.4
"Rosario",2023-10-01,2023,10,19.8,66.9
"Rosario",2023-11-01,2023,11,14.3,22.2
"Rosario",2023-12-01,2023,12,12.9,27.3
"Rosario",2024-01-01,2024,1,10.5,3.4
"Rosario",2024-02-01,2024,2,14.7,0
"Rosario",2024-03-01,2024,3,15.7,25.6
"Rosario",2024-04-01,2024,4,16.8,62.8
"Rosario",2024-05-01,2024,5,25,109.3
"Rosario",2024-06-01,2024,6,26,112.2
"Rosario",2024-07-01,2024,7,27.5,89.4
"Rosario",2024-08-01,2024,8,27.9,99.4
"Rosario",2024-09-01,2024,9,23.7,46.8
"Rosario",2024-10-01,2024,10,22.5,54.9
"Rosario",2024-11-01,2024,11,14.5,2.2
"Rosario",2024-12-01,2024,12,12.7,0
"Venado Tuerto",2020-01-01,2020,1,12,0
"Venado Tuerto",2020-02-01,2020,2,11.6,9.1
"Venado Tuerto",2020-03-01,2020,3,14.7,34.9
"Venado Tuerto",2020-04-01,2020,4,19.4,37.2
"Venado Tuerto",2020-05-01,2020,5,22.1,68.8
"Venado Tuerto",2020-06-01,2020,6,25.4,112.7
"Venado Tuerto",2020-07-01,2020,7,26,116.9
"Venado Tuerto",2020-08-01,2020,8,25.2,84.4
"Venado Tuerto",2020-09-01,2020,9,21.3,73.2
"Venado Tuerto",2020-10-01,2020,10,19.7,37.2
"Venado Tuerto",2020-11-01,2020,11,15.5,0
"Venado Tuerto",2020-12-01,2020,12,10.8,1.9
"Venado Tuerto",2021-01-01,2021,1,13,0
"Venado Tuerto",2021-02-01,2021,2,11.5,14.1
"Venado Tuerto",2021-03-01,2021,3,14.3,10.5
"Venado Tuerto",2021-04-01,2021,4,16.8,71.9
"Venado Tuerto",2021-05-01,2021,5,22.8,49.7
"Venado Tuerto",2021-06-01,2021,6,24.5,144.1
"Venado Tuerto",2021-07-01,2021,7,27.2,81.8
"Venado Tuerto",2021-08-01,2021,8,25.9,114.3
"Venado Tuerto",2021-09-01,2021,9,23.8,132.5
"Venado Tuerto",2021-10-01,2021,10,17.8,42.5
"Venado Tuerto",2021-11-01,2021,11,12.5,25.7
"Venado Tuerto",2021-12-01,2021,12,12.3,0
"Venado Tuerto",2022-01-01,2022,1,11.3,12.5
"Venado Tuerto",2022-02-01,2022,2,13.5,30.5
"Venado Tuerto",2022-03-01,2022,3,14.5,0
"Venado Tuerto",2022-04-01,2022,4,19.4,34.5
"Venado Tuerto",2022-05-01,2022,5,23.3,50.2
"Venado Tuerto",2022-06-01,2022,6,25,114.1
"Venado Tuerto",2022-07-01,2022,7,24.7,119.2
"Venado Tuerto",2022-08-01,2022,8,24.7,85.6
"Venado Tuerto",2022-09-01,2022,9,22.9,59.5
"Venado Tuerto",2022-10-01,2022,10,18.9,19
"Venado Tuerto",2022-11-01,2022,11,12.9,52.1
"Venado Tuerto",2022-12-01,2022,12,11.7,0
"Venado Tuerto",2023-01-01,2023,1,9.3,27.9
"Venado Tuerto",2023-02-01,2023,2,12.8,66.6
"Venado Tuerto",2023-03-01,2023,3,14.8,68.7
"Venado Tuerto",2023-04-01,2023,4,18.1,39.3
"Venado Tuerto",2023-05-01,2023,5,23.5,113.5
"Venado Tuerto",2023-06-01,2023,6,24.5,86.5
"Venado Tuerto",2023-07-01,2023,7,28.2,117.2
"Venado Tuerto",2023-08-01,2023,8,24.6,107.4
"Venado Tuerto",2023-09-01,2023,9,20.4,98.6
"Venado Tuerto",2023-10-01,2023,10,17.5,60.2
"Venado Tuerto",2023-11-01,2023,11,14.2,42.3
"Venado Tuerto",2023-12-01,2023,12,11.6,32.5
"Venado Tuerto",2024-01-01,2024,1,9.7,0
"Venado Tuerto",2024-02-01,2024,2,11.3,9.9
"Venado Tuerto",2024-03-01,2024,3,15.1,44.5
"Venado Tuerto",2024-04-01,2024,4,19,65.2
"Venado Tuerto",2024-05-01,2024,5,22.9,88.3
"Venado Tuerto",2024-06-01,2024,6,24.4,146.5
"Venado Tuerto",2024-07-01,2024,7,27,106.7
"Venado Tuerto",2024-08-01,2024,8,27.5,105.6
